customer_id,signup_date,country,loyalty_score
100100,2025-04-04,Russia,0.06
100101,2024-08-30,Mexico,0.357
100102,2025-03-06,Russia,0.335
100103,2025-02-04,USA,0.108
100104,2024-03-13,USA,0.725
100105,2024-02-09,USA,0.247
100106,2025-03-18,Russia,0.112
100107,2024-09-16,Russia,0.2
100108,2025-02-04,Kazakhstan,0.195
100109,2024-08-04,USA,0.092
100110,2024-05-31,Mexico,0.173
100111,2024-04-10,Russia,0.491
100112,2024-09-12,Mexico,0.259
100113,2025-06-30,USA,0.014
100114,2024-09-25,USA,0.322
100115,2024-09-11,Mexico,0.105
100116,2025-01-20,USA,0.074
100117,2025-10-17,USA,0.393
100118,2024-09-19,Russia,0.545
100119,2025-01-30,Russia,0.123
100120,2024-10-21,Mexico,0.437
100121,2025-02-09,Russia,0.094
100122,2024-10-25,Kazakhstan,0.571
100123,2025-03-03,USA,0.381
100124,2025-01-01,Belarus,0.221
100125,2025-03-29,Belarus,0.248
100126,2025-10-03,USA,0.28
100127,2024-04-11,Russia,0.173
100128,2025-01-11,USA,0.161
100129,2024-10-22,USA,0.126
100130,2024-08-27,Russia,0.643
100131,2024-06-09,Russia,0.311
100132,2024-02-05,Russia,0.576
100133,2024-09-26,USA,0.124
100134,2025-07-07,Russia,0.427
100135,2024-03-05,Russia,0.238
100136,2024-09-29,USA,0.294
100137,2025-10-10,Belarus,0.815
100138,2025-09-29,Mexico,0.283
100139,2024-05-24,Mexico,0.201
100140,2024-01-06,Russia,0.223
100141,2025-03-26,Russia,0.084
100142,2024-01-10,Kazakhstan,0.231
100143,2024-07-20,Russia,0.136
100144,2024-11-29,Kazakhstan,0.738
100145,2025-08-08,Mexico,0.272
100146,2024-03-03,Mexico,0.248
100147,2025-03-19,Belarus,0.14
100148,2024-12-23,Russia,0.038
100149,2024-03-29,Russia,0.175
100150,2025-07-20,USA,0.476
100151,2025-07-20,Russia,0.364
100152,2024-11-19,Belarus,0.339
100153,2025-09-25,Russia,0.036
100154,2025-02-10,USA,0.439
100155,2025-08-28,Russia,0.317
100156,2025-10-05,Kazakhstan,0.198
100157,2025-01-16,Belarus,0.096
100158,2024-07-07,Mexico,0.5
100159,2024-04-07,USA,0.28
100160,2025-01-12,Mexico,0.121
100161,2024-05-08,Russia,0.152
100162,2025-05-17,Russia,0.491
100163,2025-09-13,Mexico,0.124
100164,2024-06-13,USA,0.067
100165,2025-01-05,Russia,0.509
100166,2024-02-02,Mexico,0.182
100167,2024-04-30,Russia,0.17
100168,2024-09-09,Kazakhstan,0.361
100169,2025-08-15,Belarus,0.146
100170,2025-10-11,Belarus,0.342
100171,2025-03-05,USA,0.354
100172,2025-01-25,Mexico,0.277
100173,2025-01-16,Kazakhstan,0.373
100174,2024-02-10,Mexico,0.196
100175,2024-09-09,Kazakhstan,0.488
100176,2025-10-20,Kazakhstan,0.47
100177,2024-10-02,Russia,0.211
100178,2024-05-22,Kazakhstan,0.342
100179,2024-06-09,Russia,0.014
100180,2025-04-22,Russia,0.351
100181,2024-01-26,Russia,0.37
100182,2025-10-11,Kazakhstan,0.197
100183,2025-08-10,Russia,0.177
100184,2025-01-15,Mexico,0.221
100185,2024-11-09,USA,0.11
100186,2025-05-25,Russia,0.315
100187,2025-01-01,Belarus,0.228
100188,2024-11-15,USA,0.067
100189,2024-08-03,Russia,0.368
100190,2024-10-26,Belarus,0.375
100191,2025-05-18,Kazakhstan,0.069
100192,2024-02-06,Mexico,0.122
100193,2024-01-17,USA,0.365
100194,2025-04-27,Russia,0.273
100195,2024-09-06,USA,0.303
100196,2025-06-22,Mexico,0.234
100197,2024-01-21,Mexico,0.259
100198,2025-08-30,Mexico,0.26
100199,2024-03-23,USA,0.184
100200,2024-10-05,Russia,0.058
100201,2025-10-09,Mexico,0.348
100202,2024-03-13,Russia,0.15
100203,2025-03-16,Kazakhstan,0.312
100204,2025-05-02,Mexico,0.267
100205,2024-10-13,Russia,0.105
100206,2024-02-22,Russia,0.638
100207,2024-12-16,Mexico,0.141
100208,2024-10-17,Mexico,0.207
100209,2025-08-07,Mexico,0.266
100210,2025-04-02,Russia,0.146
100211,2024-08-18,Mexico,0.258
100212,2024-02-08,Russia,0.569
100213,2025-01-30,Mexico,0.16
100214,2024-07-06,Belarus,0.436
100215,2025-04-03,Belarus,0.092
100216,2025-08-01,Kazakhstan,0.034
100217,2024-08-26,Russia,0.492
100218,2025-08-28,Mexico,0.148
100219,2024-12-13,Kazakhstan,0.495
100220,2024-12-21,Mexico,0.162
100221,2025-05-27,Russia,0.437
100222,2025-06-12,Russia,0.488
100223,2025-09-01,Belarus,0.235
100224,2025-10-31,Mexico,0.208
100225,2024-04-11,USA,0.123
100226,2024-10-03,USA,0.134
100227,2025-09-17,Russia,0.398
100228,2024-07-25,Mexico,0.501
100229,2024-01-04,Russia,0.227
100230,2025-01-20,Mexico,0.505
100231,2025-05-19,Russia,0.391
100232,2025-05-12,Russia,0.41
100233,2025-06-27,Kazakhstan,0.059
100234,2025-03-07,Belarus,0.677
100235,2024-04-01,Mexico,0.199
100236,2025-07-21,Mexico,0.534
100237,2024-10-07,Mexico,0.589
100238,2025-07-21,Kazakhstan,0.337
100239,2025-06-30,Mexico,0.366
100240,2025-10-12,Russia,0.472
100241,2024-01-10,Belarus,0.261
100242,2025-08-03,Kazakhstan,0.507
100243,2025-02-25,Belarus,0.165
100244,2024-11-21,Russia,0.155
100245,2025-06-15,Kazakhstan,0.366
100246,2025-09-29,Russia,0.197
100247,2024-12-09,Kazakhstan,0.066
100248,2024-02-28,Russia,0.117
100249,2025-05-01,Mexico,0.426
100250,2024-06-03,USA,0.339
100251,2024-05-31,Russia,0.485
100252,2024-05-09,Russia,0.214
100253,2024-05-13,Mexico,0.029
100254,2025-09-01,Russia,0.036
100255,2024-08-31,USA,0.527
100256,2024-03-12,Russia,0.205
100257,2024-04-30,Russia,0.153
100258,2024-09-21,Kazakhstan,0.199
100259,2024-08-19,Russia,0.069
100260,2024-07-26,Russia,0.336
100261,2025-09-27,Russia,0.094
100262,2025-08-03,Mexico,0.201
100263,2025-01-19,USA,0.204
100264,2025-10-22,Russia,0.35
100265,2024-08-15,Mexico,0.264
100266,2024-04-02,Russia,0.097
100267,2024-06-30,Belarus,0.32
100268,2024-02-29,Kazakhstan,0.154
100269,2025-09-29,Russia,0.219
100270,2024-05-26,Mexico,0.412
100271,2024-10-24,Mexico,0.134
100272,2024-05-15,Russia,0.209
100273,2025-10-18,Russia,0.454
100274,2024-04-15,Mexico,0.104
100275,2024-12-11,USA,0.475
100276,2025-09-28,Belarus,0.321
100277,2024-12-15,USA,0.143
100278,2025-08-25,USA,0.13
100279,2025-08-23,Mexico,0.415
100280,2025-05-29,Mexico,0.276
100281,2025-05-12,Russia,0.348
100282,2025-01-21,Russia,0.291
100283,2025-01-24,Mexico,0.269
100284,2025-07-11,USA,0.319
100285,2024-10-12,Russia,0.102
100286,2025-09-25,Kazakhstan,0.674
100287,2025-08-11,Russia,0.075
100288,2024-09-07,Mexico,0.312
100289,2024-10-02,Kazakhstan,0.231
100290,2025-04-23,Mexico,0.466
100291,2025-09-10,Russia,0.406
100292,2024-03-05,Mexico,0.364
100293,2024-02-16,Mexico,0.567
100294,2024-06-15,Kazakhstan,0.081
100295,2024-10-15,Russia,0.033
100296,2024-04-19,Kazakhstan,0.381
100297,2024-12-14,Mexico,0.231
100298,2024-12-28,Russia,0.46
100299,2025-09-29,Russia,0.34
100300,2025-05-14,Kazakhstan,0.408
100301,2024-06-17,Russia,0.214
100302,2025-06-10,Mexico,0.135
100303,2025-06-24,Mexico,0.073
100304,2025-03-31,USA,0.561
100305,2025-03-29,Mexico,0.185
100306,2024-07-26,Mexico,0.25
100307,2025-04-25,Russia,0.281
100308,2024-03-31,Mexico,0.545
100309,2025-02-25,Mexico,0.174
100310,2025-09-09,Mexico,0.048
100311,2025-10-12,Mexico,0.377
100312,2024-07-18,Mexico,0.375
100313,2024-08-10,Russia,0.141
100314,2025-02-18,Mexico,0.141
100315,2024-09-23,Kazakhstan,0.393
100316,2025-05-04,Russia,0.353
100317,2024-05-15,Russia,0.116
100318,2024-04-23,Russia,0.437
100319,2024-02-03,Kazakhstan,0.382
100320,2024-11-10,Russia,0.075
100321,2024-05-22,Kazakhstan,0.423
100322,2024-07-19,USA,0.516
100323,2025-09-05,Mexico,0.448
100324,2025-06-29,Mexico,0.181
100325,2025-07-16,USA,0.057
100326,2025-02-01,Russia,0.017
100327,2024-03-16,Kazakhstan,0.199
100328,2025-05-15,Russia,0.591
100329,2025-02-08,Kazakhstan,0.516
100330,2025-08-31,USA,0.028
100331,2024-11-17,Russia,0.076
100332,2024-04-26,Mexico,0.641
100333,2025-02-02,USA,0.326
100334,2024-11-01,Kazakhstan,0.409
100335,2025-03-17,Mexico,0.381
100336,2024-09-08,Kazakhstan,0.537
100337,2024-07-24,Russia,0.179
100338,2024-03-24,Kazakhstan,0.239
100339,2025-10-06,Russia,0.246
100340,2025-05-20,Russia,0.21
100341,2024-11-08,Russia,0.167
100342,2024-06-06,USA,0.396
100343,2025-02-24,Russia,0.277
100344,2024-10-03,Russia,0.439
100345,2025-03-01,USA,0.218
100346,2024-03-01,Russia,0.202
100347,2024-05-03,USA,0.21
100348,2025-05-07,USA,0.445
100349,2024-02-11,Mexico,0.716
100350,2025-03-29,Kazakhstan,0.272
100351,2024-10-02,Russia,0.108
100352,2024-01-03,Russia,0.202
100353,2025-05-26,Russia,0.547
100354,2025-04-13,Russia,0.166
100355,2025-06-30,Kazakhstan,0.305
100356,2025-08-22,USA,0.411
100357,2025-05-04,Belarus,0.076
100358,2025-07-17,USA,0.182
100359,2024-03-16,Mexico,0.255
100360,2025-09-07,Russia,0.195
100361,2025-09-03,Belarus,0.302
100362,2025-04-10,Russia,0.294
100363,2025-06-21,Russia,0.323
100364,2025-05-11,USA,0.54
100365,2025-08-11,Russia,0.663
100366,2025-08-18,Russia,0.391
100367,2024-12-16,Russia,0.185
100368,2025-06-30,Mexico,0.165
100369,2025-09-05,Kazakhstan,0.377
100370,2024-07-18,Russia,0.138
100371,2024-02-01,Mexico,0.525
100372,2024-04-24,Russia,0.026
100373,2024-01-21,Mexico,0.574
100374,2024-10-18,Kazakhstan,0.431
100375,2024-01-14,Belarus,0.088
100376,2024-06-22,Kazakhstan,0.092
100377,2024-06-18,Mexico,0.372
100378,2025-04-18,USA,0.494
100379,2024-06-15,Mexico,0.168
100380,2025-09-28,Russia,0.502
100381,2024-05-05,Kazakhstan,0.355
100382,2025-10-13,Russia,0.058
100383,2025-01-14,Russia,0.238
100384,2024-06-12,Russia,0.119
100385,2024-01-27,Russia,0.179
100386,2024-07-23,USA,0.531
100387,2025-01-30,Mexico,0.344
100388,2024-03-14,USA,0.452
100389,2024-04-21,Mexico,0.177
100390,2024-03-17,Russia,0.342
100391,2025-03-30,Kazakhstan,0.197
100392,2024-02-29,Kazakhstan,0.366
100393,2024-01-15,Russia,0.673
100394,2024-11-01,Kazakhstan,0.4
100395,2024-07-27,Mexico,0.106
100396,2025-01-16,Russia,0.824
100397,2025-09-20,Russia,0.297
100398,2025-07-28,Kazakhstan,0.409
100399,2024-12-26,Mexico,0.336
100400,2025-03-06,Mexico,0.26
100401,2025-06-27,Mexico,0.212
100402,2024-10-20,Russia,0.09
100403,2025-03-16,Russia,0.208
100404,2024-05-24,Russia,0.29
100405,2025-02-13,Russia,0.087
100406,2024-06-07,Mexico,0.345
100407,2024-05-08,USA,0.473
100408,2025-05-25,Mexico,0.415
100409,2025-01-19,Russia,0.257
100410,2024-09-09,Russia,0.11
100411,2024-01-27,Mexico,0.138
100412,2024-06-07,USA,0.198
100413,2025-06-21,Belarus,0.546
100414,2024-11-09,Russia,0.177
100415,2025-10-05,Russia,0.136
100416,2025-08-26,Mexico,0.171
100417,2025-07-26,USA,0.162
100418,2024-01-11,Russia,0.144
100419,2024-02-03,Russia,0.355
100420,2025-01-22,Russia,0.1
100421,2024-08-14,Russia,0.142
100422,2025-07-18,USA,0.192
100423,2024-08-01,Mexico,0.344
100424,2024-04-12,USA,0.41
100425,2024-03-16,Russia,0.239
100426,2024-07-20,Russia,0.351
100427,2025-02-23,Mexico,0.362
100428,2024-03-25,Mexico,0.496
100429,2025-06-18,Russia,0.328
100430,2024-07-21,Kazakhstan,0.123
100431,2024-07-29,Mexico,0.761
100432,2025-03-20,Mexico,0.572
100433,2025-08-01,Kazakhstan,0.121
100434,2024-10-18,Russia,0.174
100435,2025-06-18,USA,0.251
100436,2024-07-23,Kazakhstan,0.221
100437,2024-03-27,Mexico,0.442
100438,2025-07-09,Belarus,0.267
100439,2025-05-28,Russia,0.347
100440,2025-05-17,Russia,0.189
100441,2025-08-14,Russia,0.093
100442,2024-11-29,Russia,0.044
100443,2024-05-12,Russia,0.386
100444,2025-01-26,Kazakhstan,0.185
100445,2025-01-19,Russia,0.321
100446,2024-09-15,Russia,0.095
100447,2025-03-03,Mexico,0.307
100448,2024-06-25,Russia,0.305
100449,2025-02-12,Russia,0.563
100450,2025-06-15,Mexico,0.139
100451,2024-03-05,Belarus,0.512
100452,2024-10-30,Kazakhstan,0.473
100453,2025-03-18,Russia,0.165
100454,2024-02-04,Belarus,0.167
100455,2025-02-27,Russia,0.228
100456,2025-09-03,USA,0.187
100457,2025-07-06,Mexico,0.397
100458,2025-04-04,Russia,0.168
100459,2025-06-22,Russia,0.326
100460,2024-08-30,USA,0.142
100461,2024-08-07,Russia,0.186
100462,2024-02-25,Mexico,0.194
100463,2025-04-28,USA,0.534
100464,2024-07-29,Mexico,0.17
100465,2025-08-04,USA,0.237
100466,2024-11-08,Kazakhstan,0.566
100467,2025-08-21,USA,0.053
100468,2024-04-02,Kazakhstan,0.251
100469,2024-04-18,Russia,0.255
100470,2024-08-20,Kazakhstan,0.334
100471,2024-01-18,Russia,0.08
100472,2024-11-25,Mexico,0.125
100473,2025-03-12,Mexico,0.178
100474,2025-03-19,Russia,0.215
100475,2024-05-23,Russia,0.108
100476,2024-04-20,Kazakhstan,0.19
100477,2025-01-12,Kazakhstan,0.509
100478,2025-02-28,USA,0.118
100479,2025-09-25,USA,0.433
100480,2025-08-23,USA,0.337
100481,2024-09-11,Mexico,0.417
100482,2024-04-18,Mexico,0.535
100483,2024-06-18,Russia,0.15
100484,2025-08-13,Russia,0.279
100485,2024-11-01,Russia,0.46
100486,2025-10-27,Mexico,0.315
100487,2025-03-16,Russia,0.172
100488,2025-02-02,Russia,0.074
100489,2024-03-08,Russia,0.567
100490,2025-01-30,Russia,0.289
100491,2024-09-11,Mexico,0.302
100492,2025-07-19,Russia,0.265
100493,2024-03-30,Russia,0.307
100494,2024-05-08,USA,0.408
100495,2025-03-19,USA,0.096
100496,2025-03-31,Mexico,0.189
100497,2025-07-10,Belarus,0.146
100498,2024-12-17,Russia,0.508
100499,2024-09-09,USA,0.269
100500,2024-07-24,Mexico,0.287
100501,2024-09-06,Kazakhstan,0.078
100502,2025-03-20,Russia,0.448
100503,2024-12-27,Russia,0.045
100504,2024-07-17,Russia,0.188
100505,2024-05-24,Russia,0.158
100506,2025-04-21,Russia,0.149
100507,2024-06-14,Kazakhstan,0.108
100508,2024-05-19,Kazakhstan,0.198
100509,2024-08-09,Russia,0.134
100510,2025-07-25,Kazakhstan,0.341
100511,2024-11-02,Russia,0.442
100512,2025-02-02,Russia,0.573
100513,2024-02-24,Belarus,0.27
100514,2024-08-18,Kazakhstan,0.435
100515,2025-05-19,Russia,0.313
100516,2025-06-01,Mexico,0.383
100517,2025-01-22,Kazakhstan,0.497
100518,2025-08-10,Kazakhstan,0.106
100519,2024-07-19,Mexico,0.171
100520,2024-04-20,Mexico,0.509
100521,2024-02-21,USA,0.103
100522,2024-05-13,Mexico,0.051
100523,2025-05-26,Mexico,0.083
100524,2025-08-28,Mexico,0.154
100525,2024-03-28,Russia,0.521
100526,2024-12-02,Mexico,0.109
100527,2024-03-30,Russia,0.365
100528,2025-07-19,Russia,0.315
100529,2024-03-28,Russia,0.352
100530,2025-03-05,Kazakhstan,0.158
100531,2024-02-24,Russia,0.339
100532,2025-05-09,Mexico,0.096
100533,2025-08-30,Mexico,0.161
100534,2025-05-05,Mexico,0.738
100535,2024-06-29,Russia,0.206
100536,2025-07-18,Mexico,0.412
100537,2024-07-24,Mexico,0.282
100538,2025-05-20,Russia,0.621
100539,2025-07-11,Russia,0.065
100540,2024-11-21,Russia,0.576
100541,2025-02-19,Kazakhstan,0.485
100542,2025-07-26,Russia,0.279
100543,2024-05-05,Belarus,0.112
100544,2024-01-14,Russia,0.132
100545,2024-10-18,Mexico,0.276
100546,2024-05-01,Belarus,0.033
100547,2025-08-15,Mexico,0.338
100548,2025-08-03,Russia,0.198
100549,2024-09-08,Mexico,0.399
100550,2024-07-25,Mexico,0.05
100551,2025-04-21,Mexico,0.063
100552,2024-10-30,Russia,0.209
100553,2024-03-05,USA,0.226
100554,2025-03-19,Belarus,0.133
100555,2025-05-02,Russia,0.14
100556,2024-02-16,Kazakhstan,0.031
100557,2025-06-04,Kazakhstan,0.11
100558,2024-12-23,Kazakhstan,0.291
100559,2025-07-07,Russia,0.019
100560,2025-07-23,Russia,0.366
100561,2025-03-27,Russia,0.207
100562,2024-08-11,Mexico,0.669
100563,2024-09-05,Kazakhstan,0.095
100564,2025-04-30,Russia,0.414
100565,2024-02-13,Kazakhstan,0.147
100566,2024-06-03,Russia,0.15
100567,2024-12-13,Russia,0.038
100568,2025-09-23,USA,0.166
100569,2025-05-22,Russia,0.01
100570,2025-06-30,Belarus,0.273
100571,2024-05-07,Russia,0.332
100572,2024-07-06,Russia,0.533
100573,2024-06-27,USA,0.236
100574,2025-05-17,USA,0.062
100575,2024-12-25,Russia,0.322
100576,2024-05-21,Kazakhstan,0.298
100577,2025-05-16,Russia,0.527
100578,2025-03-03,Russia,0.31
100579,2025-08-23,Mexico,0.081
100580,2025-01-09,Mexico,0.218
100581,2024-03-25,Mexico,0.063
100582,2025-08-18,Mexico,0.219
100583,2024-05-03,Russia,0.184
100584,2024-02-06,Russia,0.254
100585,2025-06-19,Kazakhstan,0.34
100586,2024-10-28,Mexico,0.233
100587,2025-03-07,Kazakhstan,0.22
100588,2024-03-27,Kazakhstan,0.105
100589,2025-04-28,USA,0.419
100590,2024-09-28,Russia,0.213
100591,2025-10-29,Russia,0.024
100592,2025-03-02,Russia,0.432
100593,2025-09-21,USA,0.391
100594,2025-06-15,Russia,0.349
100595,2025-07-18,Russia,0.362
100596,2024-02-28,Kazakhstan,0.28
100597,2025-06-04,Mexico,0.553
100598,2025-02-08,Russia,0.254
100599,2024-09-21,Mexico,0.319
100600,2024-07-28,Russia,0.254
100601,2025-03-05,Mexico,0.127
100602,2024-05-12,Russia,0.231
100603,2024-05-03,USA,0.1
100604,2025-08-08,Russia,0.21
100605,2025-05-23,Mexico,0.461
100606,2025-01-30,Mexico,0.262
100607,2025-05-22,Russia,0.351
100608,2024-08-04,Russia,0.187
100609,2025-04-28,Belarus,0.398
100610,2024-05-17,Kazakhstan,0.149
100611,2024-10-25,Kazakhstan,0.4
100612,2024-04-08,Mexico,0.222
100613,2024-09-10,Kazakhstan,0.451
100614,2024-08-16,Kazakhstan,0.125
100615,2024-10-08,Kazakhstan,0.4
100616,2024-11-15,Kazakhstan,0.297
100617,2024-01-23,Kazakhstan,0.674
100618,2024-08-17,Russia,0.251
100619,2025-07-19,Russia,0.487
100620,2024-10-17,Russia,0.37
100621,2024-12-29,Russia,0.165
100622,2024-03-09,Mexico,0.05
100623,2024-09-16,Russia,0.42
100624,2025-10-11,Russia,0.122
100625,2025-01-02,Belarus,0.534
100626,2024-01-14,Russia,0.124
100627,2025-04-28,Russia,0.239
100628,2025-05-30,Russia,0.421
100629,2024-09-12,Kazakhstan,0.183
100630,2024-01-22,Mexico,0.432
100631,2025-07-10,USA,0.39
100632,2024-06-18,USA,0.292
100633,2025-09-08,Kazakhstan,0.102
100634,2024-08-31,Kazakhstan,0.38
100635,2024-09-16,Kazakhstan,0.172
100636,2025-06-15,Russia,0.028
100637,2024-04-02,USA,0.405
100638,2024-01-20,Russia,0.307
100639,2025-05-24,Russia,0.04
100640,2025-09-12,Mexico,0.248
100641,2025-10-27,Belarus,0.348
100642,2024-03-27,Russia,0.221
100643,2024-04-09,USA,0.503
100644,2024-08-14,Kazakhstan,0.388
100645,2025-04-22,Belarus,0.105
100646,2025-09-03,Russia,0.593
100647,2025-07-06,USA,0.206
100648,2024-09-07,Russia,0.335
100649,2025-09-08,Kazakhstan,0.435
100650,2024-06-20,USA,0.364
100651,2024-03-23,USA,0.159
100652,2024-10-18,USA,0.245
100653,2024-03-02,Mexico,0.286
100654,2025-03-30,Russia,0.046
100655,2025-10-23,Russia,0.171
100656,2024-03-12,Kazakhstan,0.423
100657,2024-03-19,Russia,0.058
100658,2024-04-29,USA,0.138
100659,2024-04-28,Russia,0.139
100660,2024-12-24,Russia,0.1
100661,2025-01-20,Russia,0.234
100662,2025-09-28,Russia,0.783
100663,2024-10-26,Kazakhstan,0.422
100664,2025-09-12,Russia,0.591
100665,2025-05-17,USA,0.351
100666,2025-07-26,Mexico,0.624
100667,2024-05-07,Russia,0.37
100668,2024-10-31,USA,0.489
100669,2025-09-04,Mexico,0.406
100670,2025-05-18,Russia,0.494
100671,2024-05-25,USA,0.076
100672,2025-07-20,USA,0.24
100673,2025-05-30,Belarus,0.369
100674,2024-04-08,Russia,0.109
100675,2024-02-15,USA,0.265
100676,2024-06-22,USA,0.415
100677,2024-11-13,Russia,0.393
100678,2024-04-12,Russia,0.112
100679,2024-01-22,USA,0.262
100680,2024-03-14,Mexico,0.213
100681,2024-07-29,Russia,0.209
100682,2024-09-18,Belarus,0.15
100683,2024-07-28,Russia,0.04
100684,2024-10-26,USA,0.204
100685,2025-04-27,Russia,0.143
100686,2024-06-15,Russia,0.494
100687,2024-10-31,Russia,0.19
100688,2025-05-03,Russia,0.204
100689,2024-02-08,USA,0.52
100690,2025-09-21,Russia,0.164
100691,2025-10-28,Kazakhstan,0.637
100692,2024-07-13,USA,0.594
100693,2025-08-18,Russia,0.493
100694,2024-06-18,Russia,0.279
100695,2025-09-05,Mexico,0.227
100696,2025-03-18,Russia,0.26
100697,2024-06-14,USA,0.329
100698,2024-02-11,Mexico,0.449
100699,2024-09-21,Russia,0.255
100700,2025-05-13,Belarus,0.186
100701,2024-06-01,Belarus,0.221
100702,2024-12-10,Mexico,0.237
100703,2024-03-24,Russia,0.398
100704,2024-10-11,Kazakhstan,0.046
100705,2024-01-23,Russia,0.38
100706,2025-10-22,Russia,0.364
100707,2024-12-03,Russia,0.396
100708,2025-07-18,USA,0.19
100709,2024-03-23,USA,0.282
100710,2024-04-22,Russia,0.517
100711,2024-04-28,Mexico,0.4
100712,2025-01-16,Kazakhstan,0.232
100713,2025-07-30,Russia,0.219
100714,2025-02-10,Russia,0.242
100715,2024-11-20,USA,0.392
100716,2025-09-23,Russia,0.486
100717,2024-05-03,Belarus,0.626
100718,2024-04-20,USA,0.433
100719,2025-03-24,Russia,0.317
100720,2025-07-26,Mexico,0.182
100721,2024-06-27,Russia,0.629
100722,2024-06-23,Mexico,0.069
100723,2024-12-19,Mexico,0.179
100724,2025-06-05,Mexico,0.165
100725,2024-07-08,USA,0.253
100726,2025-07-06,Mexico,0.289
100727,2024-12-11,USA,0.618
100728,2025-04-17,Russia,0.36
100729,2025-02-25,Belarus,0.101
100730,2024-11-18,Russia,0.147
100731,2024-12-25,Russia,0.662
100732,2025-10-28,Kazakhstan,0.279
100733,2024-09-22,Mexico,0.184
100734,2025-09-25,Mexico,0.39
100735,2025-06-13,Russia,0.37
100736,2024-05-02,USA,0.474
100737,2025-08-08,Russia,0.157
100738,2024-09-13,Russia,0.298
100739,2024-04-30,Mexico,0.357
100740,2024-06-18,USA,0.333
100741,2024-04-01,Mexico,0.086
100742,2024-08-15,Russia,0.354
100743,2024-03-16,Kazakhstan,0.279
100744,2024-12-30,Mexico,0.526
